PL Run 1 | features=['f_pt', 'k_star', 'd_y', 'd_phi', 'cos_theta_star', 'o_cos_psi1', 'o_cos2_psi2', 'f_cos_psi1', 'f_cos2_psi2'] | IN_CHANNELS=9
Dataset: 110758 Omega, 52934 Anti-Omega
EM_ITER=4 | GAMMA=1.5
OmegaTransformer: 275,010 parameters

============================================================
EM Iteration 1/4
Iter 1: uniform weights (standard BCE)
  [EM1] Ep 079 | Ω:0.677 A:0.632 A@.55:0.541 Score:0.3083 | LR:0.000004 | ni:23/25
  [EM1] Ep 080 | Ω:0.678 A:0.631 A@.55:0.540 Score:0.3097 | LR:0.000004 | ni:24/25
  Early stopping at epoch 80
EM iter 1 best: Score=0.3124 Anti=0.6354 A@.55=0.5399

============================================================
EM Iteration 2/4
E-step: computing per-event weights from current model...
  Omega weight stats: mean=0.4570 min=0.0065 max=0.9424
  [EM2] Ep 001 | Ω:0.632 A:0.672 A@.55:0.614 Score:0.3038 | LR:0.000500 | ni:0/25
  [EM2] Ep 002 | Ω:0.617 A:0.686 A@.55:0.632 Score:0.3032 | LR:0.000500 | ni:0/25
  [EM2] Ep 003 | Ω:0.615 A:0.689 A@.55:0.636 Score:0.3039 | LR:0.000500 | ni:1/25
  [EM2] Ep 004 | Ω:0.612 A:0.693 A@.55:0.640 Score:0.3042 | LR:0.000500 | ni:0/25
  [EM2] Ep 005 | Ω:0.612 A:0.692 A@.55:0.641 Score:0.3035 | LR:0.000500 | ni:0/25
  [EM2] Ep 006 | Ω:0.611 A:0.691 A@.55:0.642 Score:0.3024 | LR:0.000500 | ni:1/25
  [EM2] Ep 007 | Ω:0.609 A:0.693 A@.55:0.642 Score:0.3027 | LR:0.000500 | ni:2/25
  [EM2] Ep 008 | Ω:0.609 A:0.693 A@.55:0.643 Score:0.3015 | LR:0.000500 | ni:3/25
  [EM2] Ep 009 | Ω:0.610 A:0.693 A@.55:0.643 Score:0.3030 | LR:0.000500 | ni:4/25
  [EM2] Ep 010 | Ω:0.610 A:0.693 A@.55:0.642 Score:0.3024 | LR:0.000250 | ni:5/25
