GRL Run 13 | features=['k_star', 'd_y', 'd_phi', 'cos_theta_star', 'd_y_signed'] | IN_CHANNELS=5 | target Anti recall=0.90
Dataset: 110758 Omega, 52931 Anti-Omega
ADV_LAMBDA=2.0 | GRL_N_BINS=5 (within-class) | GRL_ALPHA_MAX=1.0 | pretrain=15 epochs | sigmoidal schedule
Moment adversary: 6 targets (n_kaons + std of 5 features)
OmegaTransformerGRL: 283,791 parameters
Pre-train phase: 15 epochs (alpha=0, classifier only)

Starting GRL training...

Epoch 033 | α=0.451 λ=2.0000 | cls=0.9867 adv_ce=1.6151/1.6094 adv_mse=0.9991 | O@A=0.90: 0.310 (t=0.22, A=0.898) | Argmax: O=0.996 A=0.103 Score=0.0997 | LR: 0.000500 | [CONSTRAINED] No-improve: 2/25
Epoch 034 | α=0.473 λ=2.0000 | cls=0.9838 adv_ce=1.5987/1.6094 adv_mse=1.0030 | O@A=0.90: 0.236 (t=0.16, A=0.902) | Argmax: O=0.974 A=0.291 Score=0.2650 | LR: 0.000500 | [CONSTRAINED] No-improve: 3/25
Epoch 035 | α=0.493 λ=2.0000 | cls=0.9825 adv_ce=1.5984/1.6094 adv_mse=1.0143 | O@A=0.90: 0.557 (t=0.27, A=0.900) | Argmax: O=0.967 A=0.320 Score=0.2871 | LR: 0.000500 | [CONSTRAINED] No-improve: 4/25
Epoch 036 | α=0.514 λ=2.0000 | cls=0.9818 adv_ce=1.5899/1.6094 adv_mse=1.0057 | O@A=0.90: 0.125 (t=0.15, A=0.900) | Argmax: O=0.998 A=0.068 Score=0.0658 | LR: 0.000250 | [CONSTRAINED] No-improve: 5/25
Epoch 037 | α=0.533 λ=2.0000 | cls=0.9640 adv_ce=1.5928/1.6094 adv_mse=1.0045 | O@A=0.90: 0.606 (t=0.10, A=0.900) | Argmax: O=0.994 A=0.113 Score=0.1065 | LR: 0.000250 | [CONSTRAINED] No-improve: 6/25
Epoch 038 | α=0.552 λ=2.0000 | cls=0.9636 adv_ce=1.5848/1.6094 adv_mse=0.9999 | O@A=0.90: 0.611 (t=0.30, A=0.900) | Argmax: O=0.947 A=0.441 Score=0.3878 | LR: 0.000250 | [CONSTRAINED] No-improve: 7/25
Epoch 039 | α=0.571 λ=2.0000 | cls=0.9680 adv_ce=1.6023/1.6094 adv_mse=0.9957 | O@A=0.90: 0.608 (t=0.18, A=0.899) | Argmax: O=0.972 A=0.313 Score=0.2847 | LR: 0.000250 | [CONSTRAINED] No-improve: 8/25
Epoch 040 | α=0.589 λ=2.0000 | cls=0.9716 adv_ce=1.5970/1.6094 adv_mse=0.9996 | O@A=0.90: 0.524 (t=0.23, A=0.902) | Argmax: O=0.950 A=0.338 Score=0.2878 | LR: 0.000250 | [CONSTRAINED] No-improve: 9/25
Epoch 041 | α=0.606 λ=2.0000 | cls=0.9679 adv_ce=1.5850/1.6094 adv_mse=0.9968 | O@A=0.90: 0.549 (t=0.22, A=0.899) | Argmax: O=0.955 A=0.400 Score=0.3550 | LR: 0.000250 | [CONSTRAINED] No-improve: 10/25
Epoch 042 | α=0.623 λ=2.0000 | cls=0.9727 adv_ce=1.5886/1.6094 adv_mse=0.9954 | O@A=0.90: 0.579 (t=0.28, A=0.900) | Argmax: O=0.954 A=0.396 Score=0.3499 | LR: 0.000125 | [CONSTRAINED] No-improve: 11/25
Epoch 043 | α=0.639 λ=2.0000 | cls=0.9773 adv_ce=1.6409/1.6094 adv_mse=1.0082 | O@A=0.90: 0.541 (t=0.25, A=0.900) | Argmax: O=0.961 A=0.305 Score=0.2653 | LR: 0.000125 | [CONSTRAINED] No-improve: 12/25
Epoch 044 | α=0.655 λ=2.0000 | cls=0.9638 adv_ce=1.5863/1.6094 adv_mse=1.0115 | O@A=0.90: 0.550 (t=0.25, A=0.900) | Argmax: O=0.987 A=0.171 Score=0.1581 | LR: 0.000125 | [CONSTRAINED] No-improve: 13/25
Epoch 045 | α=0.670 λ=2.0000 | cls=0.9584 adv_ce=1.5916/1.6094 adv_mse=0.9944 | O@A=0.90: 0.549 (t=0.22, A=0.899) | Argmax: O=0.924 A=0.514 Score=0.4375 | LR: 0.000125 | [CONSTRAINED] No-improve: 14/25
Epoch 046 | α=0.685 λ=2.0000 | cls=0.9638 adv_ce=1.5950/1.6094 adv_mse=0.9975 | O@A=0.90: 0.587 (t=0.33, A=0.900) | Argmax: O=0.853 A=0.664 Score=0.5167 | LR: 0.000125 | [CONSTRAINED] No-improve: 15/25
Epoch 047 | α=0.699 λ=2.0000 | cls=0.9682 adv_ce=1.6003/1.6094 adv_mse=0.9993 | O@A=0.90: 0.610 (t=0.24, A=0.900) | Argmax: O=0.936 A=0.467 Score=0.4034 | LR: 0.000125 | [CONSTRAINED] No-improve: 16/25
Epoch 048 | α=0.712 λ=2.0000 | cls=0.9601 adv_ce=1.5953/1.6094 adv_mse=1.0002 | O@A=0.90: 0.571 (t=0.19, A=0.899) | Argmax: O=0.946 A=0.447 Score=0.3931 | LR: 0.000063 | [CONSTRAINED] No-improve: 17/25
Epoch 049 | α=0.725 λ=2.0000 | cls=0.9604 adv_ce=1.5876/1.6094 adv_mse=1.0087 | O@A=0.90: 0.623 (t=0.26, A=0.900) | Argmax: O=0.968 A=0.335 Score=0.3030 | LR: 0.000063 | [CONSTRAINED] No-improve: 18/25
Epoch 050 | α=0.738 λ=2.0000 | cls=0.9474 adv_ce=1.5872/1.6094 adv_mse=0.9972 | O@A=0.90: 0.620 (t=0.29, A=0.901) | Argmax: O=0.887 A=0.613 Score=0.5003 | LR: 0.000063 | [CONSTRAINED] No-improve: 0/25
Epoch 051 | α=0.750 λ=2.0000 | cls=0.9466 adv_ce=1.5942/1.6094 adv_mse=0.9880 | O@A=0.90: 0.582 (t=0.13, A=0.900) | Argmax: O=0.924 A=0.498 Score=0.4226 | LR: 0.000063 | [CONSTRAINED] No-improve: 1/25
Epoch 052 | α=0.762 λ=2.0000 | cls=0.9527 adv_ce=1.5856/1.6094 adv_mse=0.9919 | O@A=0.90: 0.600 (t=0.25, A=0.899) | Argmax: O=0.897 A=0.585 Score=0.4815 | LR: 0.000063 | [CONSTRAINED] No-improve: 2/25
Epoch 053 | α=0.773 λ=2.0000 | cls=0.9630 adv_ce=1.5946/1.6094 adv_mse=1.0064 | O@A=0.90: 0.514 (t=0.35, A=0.900) | Argmax: O=0.902 A=0.551 Score=0.4530 | LR: 0.000063 | [CONSTRAINED] No-improve: 3/25
Epoch 054 | α=0.783 λ=2.0000 | cls=0.9503 adv_ce=1.5927/1.6094 adv_mse=0.9981 | O@A=0.90: 0.618 (t=0.16, A=0.900) | Argmax: O=0.893 A=0.598 Score=0.4906 | LR: 0.000063 | [CONSTRAINED] No-improve: 4/25
Epoch 055 | α=0.794 λ=2.0000 | cls=0.9502 adv_ce=1.5863/1.6094 adv_mse=0.9947 | O@A=0.90: 0.626 (t=0.26, A=0.900) | Argmax: O=0.862 A=0.663 Score=0.5254 | LR: 0.000063 | [CONSTRAINED] No-improve: 5/25
Epoch 056 | α=0.803 λ=2.0000 | cls=0.9491 adv_ce=1.5856/1.6094 adv_mse=0.9863 | O@A=0.90: 0.627 (t=0.23, A=0.900) | Argmax: O=0.850 A=0.685 Score=0.5353 | LR: 0.000063 | [CONSTRAINED] No-improve: 0/25
Epoch 057 | α=0.813 λ=2.0000 | cls=0.9591 adv_ce=1.5981/1.6094 adv_mse=1.0067 | O@A=0.90: 0.524 (t=0.34, A=0.900) | Argmax: O=0.873 A=0.530 Score=0.4037 | LR: 0.000063 | [CONSTRAINED] No-improve: 0/25
Epoch 058 | α=0.822 λ=2.0000 | cls=0.9523 adv_ce=1.5821/1.6094 adv_mse=0.9972 | O@A=0.90: 0.619 (t=0.27, A=0.900) | Argmax: O=0.877 A=0.622 Score=0.4995 | LR: 0.000063 | [CONSTRAINED] No-improve: 1/25
Epoch 059 | α=0.830 λ=2.0000 | cls=0.9618 adv_ce=1.5938/1.6094 adv_mse=1.0005 | O@A=0.90: 0.281 (t=0.36, A=0.900) | Argmax: O=0.630 A=0.649 Score=0.2789 | LR: 0.000063 | [CONSTRAINED] No-improve: 2/25
Epoch 060 | α=0.839 λ=2.0000 | cls=0.9514 adv_ce=1.5917/1.6094 adv_mse=0.9974 | O@A=0.90: 0.535 (t=0.20, A=0.900) | Argmax: O=0.901 A=0.581 Score=0.4818 | LR: 0.000063 | [CONSTRAINED] No-improve: 3/25
Epoch 061 | α=0.846 λ=2.0000 | cls=0.9591 adv_ce=1.5874/1.6094 adv_mse=0.9976 | O@A=0.90: 0.621 (t=0.21, A=0.900) | Argmax: O=0.902 A=0.574 Score=0.4764 | LR: 0.000063 | [CONSTRAINED] No-improve: 4/25
