Consistency Run 1 | features=['f_pt', 'k_star', 'd_y', 'd_phi', 'cos_theta_star', 'o_cos_psi1', 'o_cos2_psi2', 'f_cos_psi1', 'f_cos2_psi2'] | IN_CHANNELS=9
Dataset: 110758 Omega, 52934 Anti-Omega
DROP_START=0.1 → DROP_MAX=0.4 over 40 epochs | CONS_LAMBDA=0.3
OmegaTransformer: 275,010 parameters
Starting consistency training...

Epoch 051 | drop=0.40 | cls=1.2331 cons=0.0161 | Omega Rec: 0.678 | Anti Rec: 0.630 | A@0.55: 0.529 | Score: 0.3077 | LR: 0.000250 | No-improve: 4/25
Epoch 052 | drop=0.40 | cls=1.2326 cons=0.0156 | Omega Rec: 0.682 | Anti Rec: 0.626 | A@0.55: 0.524 | Score: 0.3081 | LR: 0.000125 | No-improve: 5/25
Epoch 053 | drop=0.40 | cls=1.2291 cons=0.0161 | Omega Rec: 0.680 | Anti Rec: 0.627 | A@0.55: 0.527 | Score: 0.3060 | LR: 0.000125 | No-improve: 6/25
Epoch 054 | drop=0.40 | cls=1.2293 cons=0.0161 | Omega Rec: 0.680 | Anti Rec: 0.627 | A@0.55: 0.527 | Score: 0.3065 | LR: 0.000125 | No-improve: 7/25
Epoch 055 | drop=0.40 | cls=1.2278 cons=0.0162 | Omega Rec: 0.679 | Anti Rec: 0.629 | A@0.55: 0.530 | Score: 0.3084 | LR: 0.000125 | No-improve: 8/25
Epoch 056 | drop=0.40 | cls=1.2282 cons=0.0164 | Omega Rec: 0.681 | Anti Rec: 0.628 | A@0.55: 0.529 | Score: 0.3088 | LR: 0.000125 | No-improve: 9/25
Epoch 057 | drop=0.40 | cls=1.2282 cons=0.0163 | Omega Rec: 0.680 | Anti Rec: 0.629 | A@0.55: 0.530 | Score: 0.3086 | LR: 0.000125 | No-improve: 10/25
Epoch 058 | drop=0.40 | cls=1.2280 cons=0.0163 | Omega Rec: 0.678 | Anti Rec: 0.630 | A@0.55: 0.530 | Score: 0.3089 | LR: 0.000063 | No-improve: 11/25
Epoch 059 | drop=0.40 | cls=1.2263 cons=0.0169 | Omega Rec: 0.679 | Anti Rec: 0.630 | A@0.55: 0.530 | Score: 0.3091 | LR: 0.000063 | No-improve: 12/25
Epoch 060 | drop=0.40 | cls=1.2247 cons=0.0166 | Omega Rec: 0.681 | Anti Rec: 0.627 | A@0.55: 0.528 | Score: 0.3082 | LR: 0.000063 | No-improve: 13/25
Epoch 061 | drop=0.40 | cls=1.2252 cons=0.0168 | Omega Rec: 0.682 | Anti Rec: 0.626 | A@0.55: 0.528 | Score: 0.3082 | LR: 0.000063 | No-improve: 14/25
Epoch 062 | drop=0.40 | cls=1.2233 cons=0.0170 | Omega Rec: 0.680 | Anti Rec: 0.629 | A@0.55: 0.529 | Score: 0.3090 | LR: 0.000063 | No-improve: 15/25
Epoch 063 | drop=0.40 | cls=nan cons=0.0166 | Omega Rec: 0.681 | Anti Rec: 0.627 | A@0.55: 0.527 | Score: 0.3088 | LR: 0.000063 | No-improve: 16/25
Epoch 064 | drop=0.40 | cls=1.2259 cons=0.0167 | Omega Rec: 0.681 | Anti Rec: 0.629 | A@0.55: 0.529 | Score: 0.3101 | LR: 0.000063 | No-improve: 17/25
Epoch 065 | drop=0.40 | cls=1.2248 cons=0.0166 | Omega Rec: 0.682 | Anti Rec: 0.627 | A@0.55: 0.527 | Score: 0.3091 | LR: 0.000063 | No-improve: 0/25
Epoch 066 | drop=0.40 | cls=1.2243 cons=0.0168 | Omega Rec: 0.683 | Anti Rec: 0.626 | A@0.55: 0.527 | Score: 0.3095 | LR: 0.000063 | No-improve: 1/25
Epoch 067 | drop=0.40 | cls=1.2250 cons=0.0169 | Omega Rec: 0.684 | Anti Rec: 0.626 | A@0.55: 0.527 | Score: 0.3095 | LR: 0.000063 | No-improve: 2/25
Epoch 068 | drop=0.40 | cls=1.2243 cons=0.0167 | Omega Rec: 0.683 | Anti Rec: 0.627 | A@0.55: 0.527 | Score: 0.3096 | LR: 0.000063 | No-improve: 3/25
Epoch 069 | drop=0.40 | cls=1.2223 cons=0.0171 | Omega Rec: 0.682 | Anti Rec: 0.627 | A@0.55: 0.528 | Score: 0.3091 | LR: 0.000063 | No-improve: 4/25
Epoch 070 | drop=0.40 | cls=1.2248 cons=0.0168 | Omega Rec: 0.681 | Anti Rec: 0.628 | A@0.55: 0.528 | Score: 0.3091 | LR: 0.000031 | No-improve: 5/25
Epoch 071 | drop=0.40 | cls=1.2234 cons=0.0168 | Omega Rec: 0.682 | Anti Rec: 0.628 | A@0.55: 0.526 | Score: 0.3097 | LR: 0.000031 | No-improve: 6/25
Epoch 072 | drop=0.40 | cls=1.2223 cons=0.0169 | Omega Rec: 0.682 | Anti Rec: 0.627 | A@0.55: 0.529 | Score: 0.3090 | LR: 0.000031 | No-improve: 7/25
Epoch 073 | drop=0.40 | cls=1.2226 cons=0.0170 | Omega Rec: 0.683 | Anti Rec: 0.626 | A@0.55: 0.528 | Score: 0.3087 | LR: 0.000031 | No-improve: 8/25
Epoch 074 | drop=0.40 | cls=1.2234 cons=0.0170 | Omega Rec: 0.684 | Anti Rec: 0.627 | A@0.55: 0.527 | Score: 0.3104 | LR: 0.000031 | No-improve: 9/25
Epoch 075 | drop=0.40 | cls=1.2222 cons=0.0172 | Omega Rec: 0.684 | Anti Rec: 0.626 | A@0.55: 0.527 | Score: 0.3097 | LR: 0.000031 | No-improve: 0/25
Epoch 076 | drop=0.40 | cls=1.2229 cons=0.0169 | Omega Rec: 0.684 | Anti Rec: 0.627 | A@0.55: 0.526 | Score: 0.3101 | LR: 0.000031 | No-improve: 1/25
Epoch 077 | drop=0.40 | cls=1.2222 cons=0.0170 | Omega Rec: 0.684 | Anti Rec: 0.626 | A@0.55: 0.527 | Score: 0.3094 | LR: 0.000031 | No-improve: 2/25
Epoch 078 | drop=0.40 | cls=1.2241 cons=0.0168 | Omega Rec: 0.684 | Anti Rec: 0.625 | A@0.55: 0.527 | Score: 0.3087 | LR: 0.000031 | No-improve: 3/25
Epoch 079 | drop=0.40 | cls=1.2219 cons=0.0170 | Omega Rec: 0.683 | Anti Rec: 0.627 | A@0.55: 0.526 | Score: 0.3098 | LR: 0.000031 | No-improve: 4/25
Epoch 080 | drop=0.40 | cls=1.2227 cons=0.0172 | Omega Rec: 0.682 | Anti Rec: 0.627 | A@0.55: 0.527 | Score: 0.3088 | LR: 0.000016 | No-improve: 5/25
Epoch 081 | drop=0.40 | cls=1.2219 cons=0.0171 | Omega Rec: 0.683 | Anti Rec: 0.627 | A@0.55: 0.526 | Score: 0.3094 | LR: 0.000016 | No-improve: 6/25
Epoch 082 | drop=0.40 | cls=1.2209 cons=0.0173 | Omega Rec: 0.682 | Anti Rec: 0.628 | A@0.55: 0.528 | Score: 0.3094 | LR: 0.000016 | No-improve: 7/25
Epoch 083 | drop=0.40 | cls=1.2213 cons=0.0172 | Omega Rec: 0.683 | Anti Rec: 0.626 | A@0.55: 0.527 | Score: 0.3089 | LR: 0.000016 | No-improve: 8/25
Epoch 084 | drop=0.40 | cls=1.2213 cons=0.0173 | Omega Rec: 0.683 | Anti Rec: 0.627 | A@0.55: 0.526 | Score: 0.3095 | LR: 0.000016 | No-improve: 9/25
Epoch 085 | drop=0.40 | cls=1.2202 cons=0.0174 | Omega Rec: 0.683 | Anti Rec: 0.626 | A@0.55: 0.524 | Score: 0.3091 | LR: 0.000016 | No-improve: 10/25
Epoch 086 | drop=0.40 | cls=1.2211 cons=0.0173 | Omega Rec: 0.682 | Anti Rec: 0.628 | A@0.55: 0.527 | Score: 0.3095 | LR: 0.000008 | No-improve: 11/25
Epoch 087 | drop=0.40 | cls=1.2211 cons=0.0174 | Omega Rec: 0.683 | Anti Rec: 0.627 | A@0.55: 0.525 | Score: 0.3098 | LR: 0.000008 | No-improve: 12/25
Epoch 088 | drop=0.40 | cls=1.2207 cons=0.0174 | Omega Rec: 0.683 | Anti Rec: 0.627 | A@0.55: 0.526 | Score: 0.3092 | LR: 0.000008 | No-improve: 13/25
Epoch 089 | drop=0.40 | cls=1.2225 cons=0.0173 | Omega Rec: 0.682 | Anti Rec: 0.627 | A@0.55: 0.526 | Score: 0.3092 | LR: 0.000008 | No-improve: 14/25
Epoch 090 | drop=0.40 | cls=1.2206 cons=0.0175 | Omega Rec: 0.682 | Anti Rec: 0.627 | A@0.55: 0.526 | Score: 0.3089 | LR: 0.000008 | No-improve: 15/25
Epoch 091 | drop=0.40 | cls=1.2214 cons=0.0174 | Omega Rec: 0.683 | Anti Rec: 0.627 | A@0.55: 0.526 | Score: 0.3101 | LR: 0.000008 | No-improve: 16/25
