GRL Run 9 | features=['k_star', 'd_y', 'd_phi', 'cos_theta_star', 'd_y_signed'] | IN_CHANNELS=5 | target Anti recall=0.90
Dataset: 110758 Omega, 52931 Anti-Omega
ADV_LAMBDA=2.0 | GRL_N_BINS=5 (within-class) | GRL_ALPHA_MAX=1.0 | pretrain=15 epochs | sigmoidal schedule
OmegaTransformerGRL: 279,081 parameters
Pre-train phase: 15 epochs (alpha=0, classifier only)

── Baseline multiplicity debiasing check (random init) ──
Multiplicity debiasing probe: acc=0.3212 (chance=0.2000) → NOT debiased

Starting GRL training...

Epoch 057 | α=0.813 λ=2.0000 | cls=0.9405 adv=1.5815/1.6094 | O@A=0.90: 0.631 (t=0.23, A=0.900) | Argmax: O=0.828 A=0.718 Score=0.5452 | LR: 0.000008 | [CONSTRAINED] No-improve: 11/25
Epoch 058 | α=0.822 λ=2.0000 | cls=0.9412 adv=1.5763/1.6094 | O@A=0.90: 0.631 (t=0.21, A=0.900) | Argmax: O=0.841 A=0.697 Score=0.5380 | LR: 0.000008 | [CONSTRAINED] No-improve: 12/25
Epoch 059 | α=0.830 λ=2.0000 | cls=0.9419 adv=1.5892/1.6094 | O@A=0.90: 0.632 (t=0.22, A=0.900) | Argmax: O=0.842 A=0.695 Score=0.5370 | LR: 0.000008 | [CONSTRAINED] No-improve: 13/25
Epoch 060 | α=0.839 λ=2.0000 | cls=0.9411 adv=1.5869/1.6094 | O@A=0.90: 0.632 (t=0.26, A=0.900) | Argmax: O=0.843 A=0.693 Score=0.5358 | LR: 0.000008 | [CONSTRAINED] No-improve: 14/25
Epoch 061 | α=0.846 λ=2.0000 | cls=0.9430 adv=1.5994/1.6094 | O@A=0.90: 0.629 (t=0.21, A=0.900) | Argmax: O=0.845 A=0.687 Score=0.5321 | LR: 0.000008 | [CONSTRAINED] No-improve: 15/25
Epoch 062 | α=0.854 λ=2.0000 | cls=0.9453 adv=1.6114/1.6094 | O@A=0.90: 0.628 (t=0.20, A=0.900) | Argmax: O=0.841 A=0.693 Score=0.5339 | LR: 0.000008 | [CONSTRAINED] No-improve: 16/25
Epoch 063 | α=0.861 λ=2.0000 | cls=0.9429 adv=1.6044/1.6094 | O@A=0.90: 0.627 (t=0.21, A=0.900) | Argmax: O=0.837 A=0.704 Score=0.5404 | LR: 0.000004 | [CONSTRAINED] No-improve: 17/25
Epoch 064 | α=0.868 λ=2.0000 | cls=0.9406 adv=1.5931/1.6094 | O@A=0.90: 0.627 (t=0.21, A=0.900) | Argmax: O=0.845 A=0.691 Score=0.5362 | LR: 0.000004 | [CONSTRAINED] No-improve: 18/25
Epoch 065 | α=0.874 λ=2.0000 | cls=0.9368 adv=1.5927/1.6094 | O@A=0.90: 0.628 (t=0.21, A=0.900) | Argmax: O=0.852 A=0.678 Score=0.5298 | LR: 0.000004 | [CONSTRAINED] No-improve: 19/25
Epoch 066 | α=0.881 λ=2.0000 | cls=0.9416 adv=1.6023/1.6094 | O@A=0.90: 0.628 (t=0.21, A=0.900) | Argmax: O=0.857 A=0.670 Score=0.5276 | LR: 0.000004 | [CONSTRAINED] No-improve: 20/25
Epoch 067 | α=0.887 λ=2.0000 | cls=0.9380 adv=1.6048/1.6094 | O@A=0.90: 0.628 (t=0.22, A=0.900) | Argmax: O=0.856 A=0.678 Score=0.5331 | LR: 0.000004 | [CONSTRAINED] No-improve: 21/25
Epoch 068 | α=0.892 λ=2.0000 | cls=0.9384 adv=1.5994/1.6094 | O@A=0.90: 0.630 (t=0.21, A=0.900) | Argmax: O=0.846 A=0.692 Score=0.5383 | LR: 0.000004 | [CONSTRAINED] No-improve: 22/25
Epoch 069 | α=0.898 λ=2.0000 | cls=0.9363 adv=1.5908/1.6094 | O@A=0.90: 0.630 (t=0.21, A=0.900) | Argmax: O=0.839 A=0.703 Score=0.5425 | LR: 0.000002 | [CONSTRAINED] No-improve: 23/25
Epoch 070 | α=0.903 λ=2.0000 | cls=0.9366 adv=1.5858/1.6094 | O@A=0.90: 0.632 (t=0.22, A=0.900) | Argmax: O=0.838 A=0.705 Score=0.5434 | LR: 0.000002 | [CONSTRAINED] No-improve: 24/25

Early stopping: no improvement for 25 epochs.

Best Omega recall @ Anti=0.90: 0.6325  →  saved to models/omega_grl_unpadded.pth
Final (most-debiased) model  →  saved to models/omega_grl_unpadded_final.pth

── Multiplicity debiasing check (fresh adversary probe) ──
Multiplicity debiasing probe: acc=0.5420 (chance=0.2000) → NOT debiased
Log saved to logs/grl_unpadded_run9.log
