Run 25 | features=['f_pt', 'k_star', 'd_y', 'd_phi', 'cos_theta_star', 'd_y_signed', 'o_y_abs'] | IN_CHANNELS=7 | D_MODEL=128
Dataset: 110758 Omega, 52934 Anti-Omega
Loss: per-class-mean BCE | target Anti recall: 0.90
EMA decay: 0.999
Model parameters: 274,754
Starting training...

Epoch 058 | O@A=0.90: 0.331 (t=0.28, A=0.900) | Argmax: O=0.718 A=0.622 Score=0.3393 | LR: 0.000125 | No-improve: 16/25
Epoch 059 | O@A=0.90: 0.332 (t=0.28, A=0.900) | Argmax: O=0.719 A=0.620 Score=0.3398 | LR: 0.000063 | No-improve: 17/25
Epoch 060 | O@A=0.90: 0.334 (t=0.28, A=0.900) | Argmax: O=0.719 A=0.620 Score=0.3395 | LR: 0.000063 | No-improve: 18/25
Epoch 061 | O@A=0.90: 0.332 (t=0.28, A=0.900) | Argmax: O=0.718 A=0.620 Score=0.3381 | LR: 0.000063 | No-improve: 19/25
Epoch 062 | O@A=0.90: 0.334 (t=0.28, A=0.900) | Argmax: O=0.718 A=0.620 Score=0.3385 | LR: 0.000063 | No-improve: 20/25
Epoch 063 | O@A=0.90: 0.332 (t=0.28, A=0.900) | Argmax: O=0.718 A=0.620 Score=0.3388 | LR: 0.000063 | No-improve: 21/25
Epoch 064 | O@A=0.90: 0.333 (t=0.28, A=0.900) | Argmax: O=0.719 A=0.618 Score=0.3368 | LR: 0.000063 | No-improve: 22/25
Epoch 065 | O@A=0.90: 0.331 (t=0.28, A=0.900) | Argmax: O=0.718 A=0.619 Score=0.3367 | LR: 0.000031 | No-improve: 23/25
Epoch 066 | O@A=0.90: 0.330 (t=0.28, A=0.900) | Argmax: O=0.717 A=0.621 Score=0.3378 | LR: 0.000031 | No-improve: 24/25

Early stopping: no improvement for 25 epochs.

Best Omega recall @ Anti=0.90: 0.3345  →  saved to models/omega_transformer.pth
Log saved to logs/train_run25.log
