Run 11 | features=['f_pt', 'k_star', 'd_y', 'd_phi', 'cos_theta_star'] | IN_CHANNELS=5 | D_MODEL=128
Dataset: 103751 Omega, 50081 Anti-Omega
Loss: per-class-mean BCE, anti_weight=2.0, label_smooth_eps=0.05
EMA decay: 0.999
Model parameters: 274,498
Starting training...

Epoch 081 | Omega Rec: 0.374 | Anti Rec: 0.862 | A@0.55: 0.799 | Score: 0.2356 | LR: 0.000063 | No-improve: 1/25
Epoch 082 | Omega Rec: 0.374 | Anti Rec: 0.862 | A@0.55: 0.800 | Score: 0.2361 | LR: 0.000063 | No-improve: 2/25
Epoch 083 | Omega Rec: 0.374 | Anti Rec: 0.863 | A@0.55: 0.800 | Score: 0.2366 | LR: 0.000063 | No-improve: 0/25
Epoch 084 | Omega Rec: 0.374 | Anti Rec: 0.862 | A@0.55: 0.800 | Score: 0.2362 | LR: 0.000063 | No-improve: 0/25
Epoch 085 | Omega Rec: 0.374 | Anti Rec: 0.862 | A@0.55: 0.800 | Score: 0.2360 | LR: 0.000063 | No-improve: 1/25
Epoch 086 | Omega Rec: 0.375 | Anti Rec: 0.862 | A@0.55: 0.799 | Score: 0.2368 | LR: 0.000063 | No-improve: 2/25
Epoch 087 | Omega Rec: 0.377 | Anti Rec: 0.861 | A@0.55: 0.798 | Score: 0.2381 | LR: 0.000063 | No-improve: 0/25
Epoch 088 | Omega Rec: 0.378 | Anti Rec: 0.861 | A@0.55: 0.798 | Score: 0.2393 | LR: 0.000063 | No-improve: 0/25
Epoch 089 | Omega Rec: 0.373 | Anti Rec: 0.863 | A@0.55: 0.798 | Score: 0.2363 | LR: 0.000063 | No-improve: 0/25
Epoch 090 | Omega Rec: 0.376 | Anti Rec: 0.861 | A@0.55: 0.798 | Score: 0.2369 | LR: 0.000063 | No-improve: 1/25
Epoch 091 | Omega Rec: 0.375 | Anti Rec: 0.861 | A@0.55: 0.798 | Score: 0.2359 | LR: 0.000063 | No-improve: 2/25
Epoch 092 | Omega Rec: 0.377 | Anti Rec: 0.860 | A@0.55: 0.798 | Score: 0.2370 | LR: 0.000063 | No-improve: 3/25
Epoch 093 | Omega Rec: 0.377 | Anti Rec: 0.859 | A@0.55: 0.799 | Score: 0.2363 | LR: 0.000063 | No-improve: 4/25
Epoch 094 | Omega Rec: 0.379 | Anti Rec: 0.859 | A@0.55: 0.797 | Score: 0.2379 | LR: 0.000031 | No-improve: 5/25
Epoch 095 | Omega Rec: 0.380 | Anti Rec: 0.858 | A@0.55: 0.795 | Score: 0.2382 | LR: 0.000031 | No-improve: 6/25
Epoch 096 | Omega Rec: 0.381 | Anti Rec: 0.857 | A@0.55: 0.796 | Score: 0.2387 | LR: 0.000031 | No-improve: 7/25
Epoch 097 | Omega Rec: 0.379 | Anti Rec: 0.859 | A@0.55: 0.797 | Score: 0.2383 | LR: 0.000031 | No-improve: 8/25
Epoch 098 | Omega Rec: 0.379 | Anti Rec: 0.858 | A@0.55: 0.797 | Score: 0.2374 | LR: 0.000031 | No-improve: 9/25
Epoch 099 | Omega Rec: 0.381 | Anti Rec: 0.859 | A@0.55: 0.796 | Score: 0.2393 | LR: 0.000031 | No-improve: 10/25
Epoch 100 | Omega Rec: 0.381 | Anti Rec: 0.858 | A@0.55: 0.796 | Score: 0.2390 | LR: 0.000016 | No-improve: 0/25

Best Score: 0.2393 | Anti (argmax): 0.8586 | A@0.55: 0.7965  →  saved to models/omega_transformer.pth
Log saved to logs/train_run11.log
