GRL Run 8 | features=['k_star', 'd_y', 'd_phi', 'cos_theta_star', 'd_y_signed'] | IN_CHANNELS=5 | target Anti recall=0.90
Dataset: 110758 Omega, 52931 Anti-Omega
ADV_LAMBDA=2.0 | GRL_N_BINS=5 (within-class) | GRL_ALPHA_MAX=1.0 | pretrain=15 epochs | sigmoidal schedule
OmegaTransformerGRL: 279,047 parameters
Pre-train phase: 15 epochs (alpha=0, classifier only)

── Baseline multiplicity debiasing check (random init) ──
Multiplicity debiasing probe: acc=0.3235 (chance=0.2000) → NOT debiased

Starting GRL training...

Epoch 040 | α=0.589 λ=2.0000 | cls=0.9430 adv=1.5797/1.6094 | O@A=0.90: 0.619 (t=0.17, A=0.900) | Argmax: O=0.867 A=0.651 Score=0.5180 | LR: 0.000031 | [CONSTRAINED] No-improve: 3/25
Epoch 041 | α=0.606 λ=2.0000 | cls=0.9401 adv=1.6035/1.6094 | O@A=0.90: 0.594 (t=0.19, A=0.900) | Argmax: O=0.862 A=0.656 Score=0.5183 | LR: 0.000031 | [CONSTRAINED] No-improve: 4/25
Epoch 042 | α=0.623 λ=2.0000 | cls=0.9378 adv=1.5905/1.6094 | O@A=0.90: 0.625 (t=0.19, A=0.900) | Argmax: O=0.853 A=0.679 Score=0.5322 | LR: 0.000031 | [CONSTRAINED] No-improve: 5/25
Epoch 043 | α=0.639 λ=2.0000 | cls=0.9382 adv=1.5740/1.6094 | O@A=0.90: 0.626 (t=0.20, A=0.900) | Argmax: O=0.857 A=0.672 Score=0.5294 | LR: 0.000031 | [CONSTRAINED] No-improve: 0/25
Epoch 044 | α=0.655 λ=2.0000 | cls=0.9460 adv=1.5818/1.6094 | O@A=0.90: 0.467 (t=0.35, A=0.900) | Argmax: O=0.814 A=0.735 Score=0.5484 | LR: 0.000031 | [CONSTRAINED] No-improve: 0/25
Epoch 045 | α=0.670 λ=2.0000 | cls=0.9466 adv=1.5995/1.6094 | O@A=0.90: 0.590 (t=0.35, A=0.900) | Argmax: O=0.800 A=0.724 Score=0.5243 | LR: 0.000031 | [CONSTRAINED] No-improve: 1/25
Epoch 046 | α=0.685 λ=2.0000 | cls=0.9574 adv=1.6699/1.6094 | O@A=0.90: 0.546 (t=0.24, A=0.900) | Argmax: O=0.837 A=0.701 Score=0.5386 | LR: 0.000016 | [CONSTRAINED] No-improve: 2/25
Epoch 047 | α=0.699 λ=2.0000 | cls=0.9435 adv=1.6004/1.6094 | O@A=0.90: 0.614 (t=0.17, A=0.900) | Argmax: O=0.845 A=0.693 Score=0.5376 | LR: 0.000016 | [CONSTRAINED] No-improve: 3/25
Epoch 048 | α=0.712 λ=2.0000 | cls=0.9579 adv=1.6507/1.6094 | O@A=0.90: 0.549 (t=0.27, A=0.900) | Argmax: O=0.819 A=0.703 Score=0.5218 | LR: 0.000016 | [CONSTRAINED] No-improve: 4/25
Epoch 049 | α=0.725 λ=2.0000 | cls=0.9512 adv=1.5771/1.6094 | O@A=0.90: 0.624 (t=0.27, A=0.899) | Argmax: O=0.801 A=0.748 Score=0.5491 | LR: 0.000016 | [CONSTRAINED] No-improve: 5/25
Epoch 050 | α=0.738 λ=2.0000 | cls=0.9442 adv=1.5647/1.6094 | O@A=0.90: 0.626 (t=0.23, A=0.900) | Argmax: O=0.797 A=0.761 Score=0.5585 | LR: 0.000016 | [CONSTRAINED] No-improve: 6/25
Epoch 051 | α=0.750 λ=2.0000 | cls=0.9440 adv=1.6225/1.6094 | O@A=0.90: 0.606 (t=0.32, A=0.900) | Argmax: O=0.768 A=0.791 Score=0.5589 | LR: 0.000016 | [CONSTRAINED] No-improve: 7/25
Epoch 052 | α=0.762 λ=2.0000 | cls=0.9397 adv=1.6325/1.6094 | O@A=0.90: 0.625 (t=0.13, A=0.900) | Argmax: O=0.885 A=0.610 Score=0.4954 | LR: 0.000008 | [CONSTRAINED] No-improve: 8/25
Epoch 053 | α=0.773 λ=2.0000 | cls=0.9362 adv=1.6160/1.6094 | O@A=0.90: 0.626 (t=0.15, A=0.900) | Argmax: O=0.865 A=0.659 Score=0.5234 | LR: 0.000008 | [CONSTRAINED] No-improve: 9/25
Epoch 054 | α=0.783 λ=2.0000 | cls=0.9340 adv=1.6025/1.6094 | O@A=0.90: 0.629 (t=0.17, A=0.900) | Argmax: O=0.854 A=0.676 Score=0.5306 | LR: 0.000008 | [CONSTRAINED] No-improve: 10/25
Epoch 055 | α=0.794 λ=2.0000 | cls=0.9359 adv=1.5998/1.6094 | O@A=0.90: 0.628 (t=0.18, A=0.900) | Argmax: O=0.846 A=0.689 Score=0.5351 | LR: 0.000008 | [CONSTRAINED] No-improve: 0/25
Epoch 056 | α=0.803 λ=2.0000 | cls=0.9324 adv=1.5875/1.6094 | O@A=0.90: 0.630 (t=0.20, A=0.900) | Argmax: O=0.840 A=0.700 Score=0.5400 | LR: 0.000008 | [CONSTRAINED] No-improve: 1/25
Epoch 057 | α=0.813 λ=2.0000 | cls=0.9342 adv=1.5797/1.6094 | O@A=0.90: 0.629 (t=0.23, A=0.900) | Argmax: O=0.842 A=0.698 Score=0.5401 | LR: 0.000008 | [CONSTRAINED] No-improve: 0/25
Epoch 058 | α=0.822 λ=2.0000 | cls=0.9328 adv=1.5785/1.6094 | O@A=0.90: 0.628 (t=0.26, A=0.900) | Argmax: O=0.844 A=0.695 Score=0.5388 | LR: 0.000004 | [CONSTRAINED] No-improve: 1/25
Epoch 059 | α=0.830 λ=2.0000 | cls=0.9359 adv=1.5847/1.6094 | O@A=0.90: 0.630 (t=0.24, A=0.900) | Argmax: O=0.844 A=0.695 Score=0.5397 | LR: 0.000004 | [CONSTRAINED] No-improve: 2/25
Epoch 060 | α=0.839 λ=2.0000 | cls=0.9370 adv=1.5843/1.6094 | O@A=0.90: 0.629 (t=0.24, A=0.900) | Argmax: O=0.843 A=0.698 Score=0.5406 | LR: 0.000004 | [CONSTRAINED] No-improve: 0/25
Epoch 061 | α=0.846 λ=2.0000 | cls=0.9359 adv=1.5790/1.6094 | O@A=0.90: 0.629 (t=0.23, A=0.900) | Argmax: O=0.843 A=0.696 Score=0.5397 | LR: 0.000004 | [CONSTRAINED] No-improve: 1/25
Epoch 062 | α=0.854 λ=2.0000 | cls=0.9319 adv=1.5782/1.6094 | O@A=0.90: 0.628 (t=0.23, A=0.900) | Argmax: O=0.843 A=0.697 Score=0.5391 | LR: 0.000004 | [CONSTRAINED] No-improve: 2/25
Epoch 063 | α=0.861 λ=2.0000 | cls=0.9327 adv=1.5762/1.6094 | O@A=0.90: 0.629 (t=0.23, A=0.900) | Argmax: O=0.843 A=0.696 Score=0.5386 | LR: 0.000004 | [CONSTRAINED] No-improve: 3/25
Epoch 064 | α=0.868 λ=2.0000 | cls=0.9356 adv=1.5813/1.6094 | O@A=0.90: 0.630 (t=0.23, A=0.900) | Argmax: O=0.846 A=0.688 Score=0.5343 | LR: 0.000002 | [CONSTRAINED] No-improve: 4/25
Epoch 065 | α=0.874 λ=2.0000 | cls=0.9427 adv=1.5987/1.6094 | O@A=0.90: 0.627 (t=0.22, A=0.900) | Argmax: O=0.846 A=0.687 Score=0.5330 | LR: 0.000002 | [CONSTRAINED] No-improve: 0/25
Epoch 066 | α=0.881 λ=2.0000 | cls=0.9382 adv=1.5984/1.6094 | O@A=0.90: 0.625 (t=0.21, A=0.900) | Argmax: O=0.837 A=0.702 Score=0.5391 | LR: 0.000002 | [CONSTRAINED] No-improve: 1/25
