GRL Run 2 | features=['f_pt', 'k_star', 'd_y', 'd_phi', 'cos_theta_star', 'o_cos_psi1', 'o_cos2_psi2', 'f_cos_psi1', 'f_cos2_psi2'] | IN_CHANNELS=9
Dataset: 110758 Omega, 52934 Anti-Omega
ADV_LAMBDA=0.1 | GRL_ALPHA_MAX=1.0 | warmup=30 epochs
OmegaTransformerGRL: 279,427 parameters
Starting GRL training...

Epoch 063 | α=1.000 | cls=1.2314 adv=0.0742 | Omega Rec: 0.678 | Anti Rec: 0.628 | A@0.55: 0.533 | Score: 0.3063 | LR: 0.000031 | No-improve: 11/25
Epoch 064 | α=1.000 | cls=1.2296 adv=0.0740 | Omega Rec: 0.679 | Anti Rec: 0.628 | A@0.55: 0.532 | Score: 0.3070 | LR: 0.000031 | No-improve: 12/25
Epoch 065 | α=1.000 | cls=1.2293 adv=0.0741 | Omega Rec: 0.678 | Anti Rec: 0.628 | A@0.55: 0.533 | Score: 0.3057 | LR: 0.000031 | No-improve: 13/25
Epoch 066 | α=1.000 | cls=1.2285 adv=0.0742 | Omega Rec: 0.678 | Anti Rec: 0.628 | A@0.55: 0.534 | Score: 0.3062 | LR: 0.000031 | No-improve: 14/25
Epoch 067 | α=1.000 | cls=1.2278 adv=0.0739 | Omega Rec: 0.677 | Anti Rec: 0.629 | A@0.55: 0.535 | Score: 0.3061 | LR: 0.000031 | No-improve: 15/25
Epoch 068 | α=1.000 | cls=1.2293 adv=0.0740 | Omega Rec: 0.679 | Anti Rec: 0.627 | A@0.55: 0.534 | Score: 0.3059 | LR: 0.000031 | No-improve: 16/25
Epoch 069 | α=1.000 | cls=1.2281 adv=0.0742 | Omega Rec: 0.679 | Anti Rec: 0.628 | A@0.55: 0.534 | Score: 0.3063 | LR: 0.000016 | No-improve: 17/25
Epoch 070 | α=1.000 | cls=1.2282 adv=0.0741 | Omega Rec: 0.680 | Anti Rec: 0.627 | A@0.55: 0.532 | Score: 0.3068 | LR: 0.000016 | No-improve: 18/25
Epoch 071 | α=1.000 | cls=1.2278 adv=0.0740 | Omega Rec: 0.680 | Anti Rec: 0.627 | A@0.55: 0.532 | Score: 0.3071 | LR: 0.000016 | No-improve: 19/25
Epoch 072 | α=1.000 | cls=1.2273 adv=0.0740 | Omega Rec: 0.680 | Anti Rec: 0.627 | A@0.55: 0.532 | Score: 0.3069 | LR: 0.000016 | No-improve: 20/25
